schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_hour,min_citation_hour,max_citation_hour,avg_distance_meters,min_distance_meters,max_distance_meters
2000495,328000,06th St,Jessie St  -  Mission St,Wednesday,4,6,61,10.0,10,10,36.55797578900299,8.669422464598673,96.12546927186992
2000496,328000,06th St,Jessie St  -  Mission St,Wednesday,4,6,61,10.0,10,10,36.55797578900299,8.669422464598673,96.12546927186992
2000497,326000,06th St,Market St  -  Stevenson St,Saturday,4,6,29,10.0,10,10,30.66816901798755,9.036290957835115,62.35021411340567
2000498,326000,06th St,Market St  -  Stevenson St,Saturday,4,6,29,10.0,10,10,30.66816901798755,9.036290957835115,62.35021411340567
2000499,330000,06th St,Minna St  -  Natoma St,Wednesday,4,6,80,10.0,10,10,81.2270634242733,8.978524703478485,197.45623366151347
2000500,330000,06th St,Minna St  -  Natoma St,Wednesday,4,6,80,10.0,10,10,81.2270634242733,8.978524703478485,197.45623366151347
2000501,329000,06th St,Mission St  -  Minna St,Wednesday,4,6,82,10.0,10,10,63.100698075621196,9.179991313870014,162.9780222054043
2000502,329000,06th St,Mission St  -  Minna St,Wednesday,4,6,82,10.0,10,10,63.100698075621196,9.179991313870014,162.9780222054043
2000503,331000,06th St,Natoma St  -  Howard St,Wednesday,4,6,58,10.0,10,10,65.24623583534765,8.978524703478485,164.8915586607966
2000504,331000,06th St,Natoma St  -  Howard St,Wednesday,4,6,58,10.0,10,10,65.24623583534765,8.978524703478485,164.8915586607966
2000505,336000,06th St,Shipley St  -  Clara St,Friday,4,6,24,10.0,10,10,84.83828051783699,8.763724090387058,182.7299025748484
2000506,336000,06th St,Shipley St  -  Clara St,Friday,4,6,24,10.0,10,10,84.83828051783699,8.763724090387058,182.7299025748484
2000507,327000,06th St,Stevenson St  -  Jessie St,Wednesday,4,6,61,10.0,10,10,57.84104284526227,8.669422464598673,161.43631687408472
2000508,327000,06th St,Stevenson St  -  Jessie St,Wednesday,4,6,61,10.0,10,10,57.84104284526227,8.669422464598673,161.43631687408472
2000509,333000,06th St,Tehama St  -  Clementina St,Friday,4,6,34,10.0,10,10,81.16623084083645,8.849848041443297,165.21620950225073
2000510,333000,06th St,Tehama St  -  Clementina St,Friday,4,6,34,10.0,10,10,81.16623084083645,8.849848041443297,165.21620950225073
2000512,354000,07th Ave,Anza St  -  Balboa St,Thursday,8,10,3,10.0,10,10,74.82646826208845,62.847884937692584,82.81392110983262
2000513,355000,07th Ave,Balboa St  -  Cabrillo St,Tuesday,8,10,3,10.0,10,10,46.47916973466513,35.029931360294974,58.13879656669609
2000515,356000,07th Ave,Cabrillo St  -  Fulton St,Tuesday,8,10,3,10.0,10,10,45.07658042849311,30.822163441778905,58.13879656669609
2000517,351000,07th Ave,California St  -  Clement St,Tuesday,7,9,4,10.0,10,10,47.171422840837735,19.50461184304915,56.51993914194909
2000519,352000,07th Ave,Clement St  -  Geary Blvd,Tuesday,7,9,4,10.0,10,10,108.38975495343445,24.415425059380805,162.03035954081219
2000520,352000,07th Ave,Clement St  -  Geary Blvd,Thursday,7,9,4,10.0,10,10,62.931939533049004,49.735804308652824,82.52134073957737
2000521,353000,07th Ave,Geary Blvd  -  Anza St,Tuesday,7,9,3,10.0,10,10,73.57867697955545,63.410121163143735,93.9157886123789
2000522,353000,07th Ave,Geary Blvd  -  Anza St,Thursday,7,9,4,10.0,10,10,60.14040447189414,16.082213101311194,82.81392110983262
2000531,350000,07th Ave,Lake St  -  California St,Tuesday,9,11,3,10.0,10,10,63.21233927267625,38.778276979684556,112.08046385865964
2000532,350000,07th Ave,Lake St  -  California St,Thursday,9,11,3,10.0,10,10,123.65238015775356,113.35557416919248,144.2459921348757
2000541,349000,07th Ave,Start: 01-99 Block  -  Lake St,Tuesday,9,11,3,10.0,10,10,49.10710418913582,38.778276979684556,69.76475860803836
2000542,349000,07th Ave,Start: 01-99 Block  -  Lake St,Thursday,9,11,3,10.0,10,10,58.19938375535879,37.733181125926286,68.43248507007505
2000560,371000,07th St,Howard St  -  Folsom St,Tuesday,4,6,10,10.0,10,10,30.61156226478703,11.67812795476753,75.11199071555303
2000561,371000,07th St,Howard St  -  Folsom St,Monday,4,6,26,10.0,10,10,92.49765566928764,9.065794059689518,178.72307743645501
2000574,369000,07th St,Minna St  -  Natoma St,Tuesday,0,6,10,10.0,10,10,50.583296733501484,8.865162835072361,115.42729262412674
2000575,369000,07th St,Minna St  -  Natoma St,Monday,0,2,26,10.0,10,10,30.575677094432713,8.865162835072361,62.419440543167326
2000576,368000,07th St,Mission St  -  Minna St,Tuesday,0,6,10,10.0,10,10,106.69521806070034,52.21031946364363,173.19775172335602
2000577,368000,07th St,Mission St  -  Minna St,Monday,0,2,26,10.0,10,10,51.92427671092873,9.362474699665734,120.09978605404895
2000578,370000,07th St,Natoma St  -  Howard St,Tuesday,0,6,10,10.0,10,10,20.288419332238597,8.865162835072361,46.85988466169836
2000579,370000,07th St,Natoma St  -  Howard St,Monday,0,2,26,10.0,10,10,43.55023565705217,8.865162835072361,109.98239435366958
2000581,366001,07th St,Stevenson St  -  Mission St,Wednesday,0,2,12,10.0,10,10,51.54645883415696,16.053522375275097,86.66063098802174
2000588,393000,08th Ave,Cabrillo St  -  Fulton St,Wednesday,8,10,5,10.0,10,10,57.71214479742504,8.898118943608454,98.48663075817974
2000589,393000,08th Ave,Cabrillo St  -  Fulton St,Monday,8,10,3,10.0,10,10,64.8930327090195,32.999487312995484,128.10228419658378
2000593,389000,08th Ave,Clement St  -  Geary Blvd,Monday,7,9,4,10.0,10,10,56.218529171748855,19.31285543705282,96.85007828788052
2000595,390000,08th Ave,Geary Blvd  -  Anza St,Monday,7,9,4,10.0,10,10,61.81420074383969,24.241339415368056,96.85007828788052
2000633,409000,08th St,Howard St  -  Tehama St,Tuesday,4,6,20,10.0,10,10,134.48221696568686,62.62709298656595,169.862593040381
2000634,409000,08th St,Howard St  -  Tehama St,Wednesday,4,6,16,10.0,10,10,113.02221899506492,62.62709298656595,151.10081356030494
2000643,407000,08th St,Minna St  -  Natoma St,Tuesday,0,6,21,10.0,10,10,31.108778303368375,8.88842594038561,176.92121920698364
2000644,407000,08th St,Minna St  -  Natoma St,Wednesday,0,2,16,10.0,10,10,17.585479496108427,8.921283055209026,28.76377688002161
2000645,406000,08th St,Mission St  -  Minna St,Tuesday,0,6,21,10.0,10,10,30.967447415501532,8.88842594038561,109.46068247929217
2000646,406000,08th St,Mission St  -  Minna St,Wednesday,0,2,16,10.0,10,10,21.109311252579072,9.174734923170968,64.09052751273383
2000647,408000,08th St,Natoma St  -  Howard St,Tuesday,0,6,20,10.0,10,10,66.58957718775613,8.921283055209026,101.06439706367559
2000648,408000,08th St,Natoma St  -  Howard St,Wednesday,0,2,16,10.0,10,10,45.37424494796363,8.921283055209026,82.33258682059576
2000651,405000,08th St,Stevenson St  -  Mission St,Tuesday,0,6,18,10.0,10,10,48.3305673369434,15.043973343402252,88.87129942006115
2000652,405000,08th St,Stevenson St  -  Mission St,Wednesday,2,6,14,10.0,10,10,76.37596559053536,43.17232886583183,92.93566499204447
2000653,405000,08th St,Stevenson St  -  Mission St,Wednesday,0,2,14,10.0,10,10,76.37596559053536,43.17232886583183,92.93566499204447
2000654,405000,08th St,Stevenson St  -  Mission St,Tuesday,2,6,18,10.0,10,10,48.3305673369434,15.043973343402252,88.87129942006115
2000655,410000,08th St,Tehama St  -  Clementina St,Thursday,4,6,3,10.0,10,10,147.5183787007373,129.46302298194993,165.3625710330943
2000671,424000,09th Ave,California St  -  Clement St,Thursday,7,9,5,10.0,10,10,60.166094163924434,19.60353703847975,82.29450929034837
2000672,424000,09th Ave,California St  -  Clement St,Tuesday,7,9,5,10.0,10,10,49.92504599087807,12.169344110055308,70.46224589675882
2000673,425000,09th Ave,Clement St  -  Geary Blvd,Thursday,7,9,5,10.0,10,10,75.05615434739607,19.60353703847975,105.42475167998617
2000674,425000,09th Ave,Clement St  -  Geary Blvd,Tuesday,7,9,3,10.0,10,10,64.77779858900614,54.04463846017042,70.46224589675882
2000675,426000,09th Ave,Geary Blvd  -  Anza St,Thursday,7,9,4,10.0,10,10,90.4809782285489,69.60891090975137,108.70432973174093
2000684,423000,09th Ave,Lake St  -  California St,Tuesday,9,11,3,10.0,10,10,50.66112294760756,42.78795818271623,62.47896913037229
2000715,453000,09th St,Clementina St  -  Folsom St,Thursday,0,6,19,10.0,10,10,52.75971487147988,9.19503234899747,110.07281555996902
2000716,453000,09th St,Clementina St  -  Folsom St,Monday,2,6,51,10.0,10,10,36.40648432507243,8.871381423529856,106.18401026498304
2000717,453000,09th St,Clementina St  -  Folsom St,Monday,0,6,51,10.0,10,10,36.40648432507243,8.871381423529856,106.18401026498304
2000718,453000,09th St,Clementina St  -  Folsom St,Thursday,2,6,19,10.0,10,10,52.75971487147988,9.19503234899747,110.07281555996902
2000719,454000,09th St,Folsom St  -  Ringold St,Monday,2,6,48,10.0,10,10,62.02329431070217,13.139537431926897,161.85658526568798
2000720,454000,09th St,Folsom St  -  Ringold St,Thursday,4,6,17,10.0,10,10,84.0399007871408,23.196154513717566,151.36234475661922
2000721,454000,09th St,Folsom St  -  Ringold St,Thursday,2,6,17,10.0,10,10,84.0399007871408,23.196154513717566,151.36234475661922
2000722,454000,09th St,Folsom St  -  Ringold St,Monday,4,6,48,10.0,10,10,62.02329431070217,13.139537431926897,161.85658526568798
2000724,457000,09th St,Harrison St  -  McLea Ct,Thursday,4,6,3,10.0,10,10,75.97153140248287,34.95632690510601,101.47019885914092
2000725,457000,09th St,Harrison St  -  McLea Ct,Thursday,2,6,3,10.0,10,10,75.97153140248287,34.95632690510601,101.47019885914092
2000727,451000,09th St,Howard St  -  Tehama St,Thursday,0,6,24,10.0,10,10,67.01613084410069,8.558966565879485,159.0172910586494
2000728,451000,09th St,Howard St  -  Tehama St,Monday,2,6,59,10.0,10,10,74.88826564413773,17.350791748129527,158.6643760048035
2000729,451000,09th St,Howard St  -  Tehama St,Monday,0,6,59,10.0,10,10,74.88826564413773,17.350791748129527,158.6643760048035
