schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2007080,3934000,Cherry St,Start: 01-99 Block  -  Jackson St,Wednesday,8,10,47,9.105673758865247,8.733333333333333,9.366666666666667
2007081,3936000,Cherry St,Washington St  -  Clay St,Monday,8,10,77,9.056493506493505,8.733333333333333,9.2
2007082,3936000,Cherry St,Washington St  -  Clay St,Wednesday,8,10,62,9.123924731182797,8.733333333333333,9.366666666666667
2007083,3943000,Chester Ave,19th Ave  -  Randolph St,Thursday,13,15,24,13.275,13.2,13.4
2007084,3943000,Chester Ave,19th Ave  -  Randolph St,Monday,8,10,54,8.983641975308641,8.883333333333333,9.183333333333334
2007085,3948000,Chester Ave,Alemany Blvd  -  Belle Ave,Wednesday,9,11,16,9.186458333333334,9.133333333333333,9.383333333333333
2007086,3948000,Chester Ave,Alemany Blvd  -  Belle Ave,Friday,13,15,8,13.347916666666666,13.3,13.4
2007087,3947000,Chester Ave,Palmetto Ave  -  End: 300-336 Block,Thursday,13,15,8,13.285416666666666,13.233333333333333,13.383333333333333
2007088,3947000,Chester Ave,Palmetto Ave  -  End: 300-336 Block,Monday,8,10,21,8.653968253968253,8.616666666666667,8.75
2007089,3946000,Chester Ave,Payson St  -  Palmetto Ave,Thursday,13,15,8,13.318749999999998,13.233333333333333,13.416666666666666
2007090,3946000,Chester Ave,Payson St  -  Palmetto Ave,Monday,8,10,19,8.650877192982454,8.616666666666667,8.75
2007091,3944000,Chester Ave,Randolph St  -  Chester Ave,Thursday,13,15,24,13.275,13.2,13.4
2007092,3944000,Chester Ave,Randolph St  -  Chester Ave,Monday,8,10,54,8.983641975308641,8.883333333333333,9.183333333333334
2007093,3981000,Chestnut St,Avila St  -  Scott St,Tuesday,6,8,74,6.358783783783784,6.166666666666667,6.616666666666667
2007094,3981000,Chestnut St,Avila St  -  Scott St,Friday,6,8,106,6.2421383647798745,6.116666666666666,6.45
2007095,3986000,Chestnut St,Baker St  -  Lyon St,Tuesday,12,14,58,12.214080459770113,12.15,12.3
2007096,3986000,Chestnut St,Baker St  -  Lyon St,Friday,12,14,97,12.196563573883163,12.1,12.3
2007097,3984000,Chestnut St,Broderick St  -  Richardson Ave,Tuesday,12,14,32,12.228125,12.15,12.3
2007098,3984000,Chestnut St,Broderick St  -  Richardson Ave,Friday,12,14,41,12.188211382113822,12.1,12.266666666666667
2007099,3975000,Chestnut St,Buchanan St  -  Webster St,Friday,9,11,76,9.605701754385965,9.383333333333333,10.1
2007100,3975000,Chestnut St,Buchanan St  -  Webster St,Tuesday,9,11,115,9.450434782608696,9.116666666666667,9.583333333333334
2007101,3983000,Chestnut St,Divisadero St  -  Broderick St,Tuesday,6,8,99,6.4244107744107755,6.316666666666666,6.55
2007102,3983000,Chestnut St,Divisadero St  -  Broderick St,Friday,6,8,81,6.246296296296297,6.133333333333334,6.416666666666667
2007103,3977000,Chestnut St,Fillmore St  -  Mallorca Way,Tuesday,6,8,29,6.444827586206896,6.216666666666667,6.666666666666667
2007104,3977000,Chestnut St,Fillmore St  -  Mallorca Way,Friday,6,8,60,6.2169444444444455,6.1,6.533333333333333
2007105,3971000,Chestnut St,Franklin St  -  Gough St,Friday,9,11,77,9.700432900432903,9.466666666666667,9.983333333333333
2007106,3971000,Chestnut St,Franklin St  -  Gough St,Tuesday,9,11,77,9.382467532467532,9.3,9.483333333333333
2007107,3972000,Chestnut St,Gough St  -  Octavia St,Friday,9,11,77,9.686580086580086,9.466666666666667,9.933333333333334
2007108,3972000,Chestnut St,Gough St  -  Octavia St,Tuesday,9,11,71,9.389906103286382,9.316666666666666,9.483333333333333
2007109,3964000,Chestnut St,Hyde St  -  Larkin St,Monday,8,10,87,8.364559386973179,8.183333333333334,8.633333333333333
2007110,3964000,Chestnut St,Hyde St  -  Larkin St,Wednesday,8,10,24,8.302083333333334,8.083333333333334,8.7
2007111,3974000,Chestnut St,Laguna St  -  Buchanan St,Friday,9,11,64,9.642187499999999,9.4,10.1
2007112,3974000,Chestnut St,Laguna St  -  Buchanan St,Tuesday,9,11,93,9.422939068100359,9.116666666666667,9.533333333333333
2007113,3978000,Chestnut St,Mallorca Way  -  Steiner St,Tuesday,6,8,66,6.408585858585858,6.15,6.666666666666667
2007114,3978000,Chestnut St,Mallorca Way  -  Steiner St,Friday,6,8,135,6.22641975308642,6.1,6.533333333333333
2007115,3959000,Chestnut St,Mason St  -  Taylor St,Wednesday,8,10,88,8.196401515151516,8.15,8.433333333333334
2007116,3959000,Chestnut St,Mason St  -  Taylor St,Thursday,8,10,118,8.190677966101697,8.116666666666667,8.266666666666667
2007117,3951000,Chestnut St,Montgomery St  -  Kearny St,Wednesday,2,6,11,2.5590909090909086,2.45,2.7
2007118,3973000,Chestnut St,Octavia St  -  Laguna St,Friday,9,11,60,9.677222222222223,9.433333333333334,9.9
2007119,3973000,Chestnut St,Octavia St  -  Laguna St,Tuesday,9,11,76,9.414473684210524,9.316666666666666,9.516666666666667
2007120,3980000,Chestnut St,Pierce St  -  Avila St,Tuesday,6,8,78,6.376068376068375,6.15,6.633333333333333
2007121,3980000,Chestnut St,Pierce St  -  Avila St,Wednesday,6,8,128,6.236718750000001,6.1,6.483333333333333
2007122,3957000,Chestnut St,Powell St  -  Venard Aly,Wednesday,8,10,47,8.206737588652482,8.15,8.433333333333334
2007123,3957000,Chestnut St,Powell St  -  Venard Aly,Thursday,8,10,86,8.182945736434112,8.116666666666667,8.266666666666667
2007124,3985000,Chestnut St,Richardson Ave  -  Baker St,Tuesday,12,14,58,12.214080459770113,12.15,12.3
2007125,3985000,Chestnut St,Richardson Ave  -  Baker St,Friday,12,14,97,12.196563573883163,12.1,12.3
2007126,3982000,Chestnut St,Scott St  -  Divisadero St,Thursday,6,8,92,6.350181159420289,6.166666666666667,6.55
2007127,3982000,Chestnut St,Scott St  -  Divisadero St,Friday,6,8,97,6.245876288659794,6.116666666666666,6.45
2007128,3979000,Chestnut St,Steiner St  -  Pierce St,Tuesday,6,8,91,6.4071428571428575,6.15,6.666666666666667
2007129,3979000,Chestnut St,Steiner St  -  Pierce St,Friday,6,8,161,6.22567287784679,6.1,6.533333333333333
2007130,3950000,Chestnut St,The Embarcadero  -  Montgomery St,Thursday,2,6,16,2.497916666666667,2.183333333333333,2.9
2007131,3950000,Chestnut St,The Embarcadero  -  Montgomery St,Wednesday,2,6,11,2.5590909090909086,2.45,2.7
2007132,3970000,Chestnut St,Van Ness Ave  -  Franklin St,Friday,9,11,35,9.70904761904762,9.483333333333333,9.983333333333333
2007133,3970000,Chestnut St,Van Ness Ave  -  Franklin St,Tuesday,9,11,31,9.379032258064514,9.3,9.483333333333333
2007134,3958000,Chestnut St,Venard Aly  -  Mason St,Wednesday,8,10,88,8.196401515151516,8.15,8.433333333333334
2007135,3958000,Chestnut St,Venard Aly  -  Mason St,Thursday,8,10,118,8.190677966101697,8.116666666666667,8.266666666666667
