schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2004723,2608000,Baker St,Hayes St  -  Grove St,Friday,12,14,212,12.250550314465409,12.15,12.533333333333333,57.33285313846691,9.003557986678816,174.187133832552
2004724,2608000,Baker St,Hayes St  -  Grove St,Wednesday,12,14,180,12.19962962962963,12.1,12.783333333333333,67.15192684166074,9.067755161339583,174.187133832552
2004725,2625000,Baker St,Jackson St  -  Pacific Ave,Monday,12,14,164,12.6744918699187,12.5,13.066666666666666,31.69658818673744,8.624717912210484,92.66803024858793
2004726,2625000,Baker St,Jackson St  -  Pacific Ave,Wednesday,12,14,148,12.767792792792795,6.733333333333333,13.166666666666666,39.80726130653489,8.799827035048882,92.69310615940688
2004727,2643000,Baker St,Jefferson St  -  Marina Blvd,Wednesday,6,8,198,6.576178451178451,6.3,6.866666666666667,69.74751327521433,8.927701493000786,165.96300283619584
2004728,2643000,Baker St,Jefferson St  -  Marina Blvd,Monday,11,13,85,11.804313725490193,11.75,12.083333333333334,77.80241529377321,8.917436206098532,165.96300283619584
2004729,2635000,Baker St,Lombard St  -  Chestnut St,Thursday,11,13,74,11.827702702702704,11.75,11.916666666666666,65.98714927594081,8.972329484517365,147.9833554460422
2004730,2635000,Baker St,Lombard St  -  Chestnut St,Monday,11,13,75,11.985333333333335,11.65,12.866666666666667,82.75243509479684,8.972329484517365,150.3534376175129
2004731,2611000,Baker St,McAllister St  -  Golden Gate Ave,Friday,12,14,419,12.168416865552903,12.083333333333334,12.633333333333333,62.47839773621587,8.660779333867406,186.82011072467097
2004732,2611000,Baker St,McAllister St  -  Golden Gate Ave,Wednesday,12,14,149,12.250559284116331,12.133333333333333,12.783333333333333,80.92467418235664,8.573653977327393,190.59794602309375
2004733,2633000,Baker St,Miley St  -  Greenwich St,Thursday,11,13,94,11.840248226950353,11.75,11.9,64.50132201210394,8.77718203181788,167.2156926859426
2004734,2633000,Baker St,Miley St  -  Greenwich St,Monday,11,13,113,11.950737463126844,11.633333333333333,12.833333333333334,65.9335827613525,9.23628176432445,195.2332393460109
2004735,2641000,Baker St,North Point St  -  Beach St,Wednesday,6,8,209,6.606618819776714,6.316666666666666,6.933333333333334,55.025125807408486,8.634817561027315,157.436179432288
2004736,2641000,Baker St,North Point St  -  Beach St,Monday,11,13,123,11.77818428184282,11.733333333333333,12.083333333333334,56.31238652956749,8.756867161666602,160.29582361386528
2004737,2606000,Baker St,Oak St  -  Fell St,Friday,12,14,124,12.361962365591397,12.2,12.816666666666666,39.98573775572701,9.045426178244506,164.20273189013128
2004738,2606000,Baker St,Oak St  -  Fell St,Wednesday,12,14,228,12.145906432748538,12.083333333333334,12.5,72.47820401366772,8.818259583349057,171.10640939944705
2004739,2626000,Baker St,Pacific Ave  -  Broadway,Monday,12,14,134,12.671766169154228,12.5,13.066666666666666,68.5777118515708,8.624717912210484,92.43331321306944
2004740,2626000,Baker St,Pacific Ave  -  Broadway,Wednesday,12,14,133,12.767418546365915,6.733333333333333,13.166666666666666,26.792524747917316,8.799827035048882,57.66957073163981
2004741,2605000,Baker St,Page St  -  Oak St,Friday,12,14,117,12.429772079772077,12.233333333333333,12.916666666666666,48.770156757636784,9.015356824205265,98.954085722572
2004742,2605000,Baker St,Page St  -  Oak St,Wednesday,12,14,205,12.131219512195122,12.066666666666666,12.5,43.84826814853398,9.015356824205265,98.98332568280564
2004743,2615000,Baker St,Pinar Ln  -  Terra Vista Ave,Wednesday,9,11,71,11.464553990610325,9.633333333333333,12.416666666666666,131.54565570252575,6.499730800293621,194.4448323906985
2004744,2615000,Baker St,Pinar Ln  -  Terra Vista Ave,Friday,9,11,132,11.170707070707072,9.35,12.55,122.93486329130843,6.436460348184666,187.9958473661494
2004745,2620000,Baker St,Pine St  -  California St,Monday,12,14,113,12.723893805309734,11.75,13.15,43.78467473826883,9.04496353164166,120.83997071420656
2004746,2620000,Baker St,Pine St  -  California St,Wednesday,12,14,105,12.664761904761907,6.533333333333333,13.0,42.746446298465145,8.966230804454085,98.82757811676775
2004747,2617000,Baker St,Post St  -  Sutter St,Monday,12,14,178,12.78361423220974,12.6,13.233333333333333,34.104819546576806,8.785853681662928,98.3134741355358
2004748,2617000,Baker St,Post St  -  Sutter St,Wednesday,12,14,158,12.67088607594937,12.533333333333333,12.95,51.85149860908809,8.728492270796798,98.32589721258256
2004749,2637000,Baker St,Richardson Ave  -  Francisco St,Wednesday,6,8,82,6.643699186991871,6.483333333333333,6.95,34.713716406755246,8.552758597149476,144.14828601984675
2004750,2637000,Baker St,Richardson Ave  -  Francisco St,Monday,11,13,58,11.886494252873565,11.683333333333334,12.866666666666667,66.56012271653279,9.460801255115651,180.00347432263897
2004751,2622000,Baker St,Sacramento St  -  Clay St,Monday,12,14,137,12.721289537712895,12.55,13.116666666666667,43.1056656819344,8.866748783692785,119.93816017105492
2004752,2622000,Baker St,Sacramento St  -  Clay St,Wednesday,12,14,126,12.743253968253967,12.616666666666667,13.083333333333334,50.677117462164205,8.570824166345153,97.6373519840798
2004753,2618000,Baker St,Sutter St  -  Bush St,Monday,12,14,165,12.76767676767677,11.75,13.216666666666667,44.99920346437735,8.818461182773154,115.109968521873
2004754,2618000,Baker St,Sutter St  -  Bush St,Wednesday,12,14,113,12.621091445427727,6.533333333333333,12.983333333333333,44.96432063867111,8.818461182773154,98.77309040763409
