schedule_id,cnn,corridor,limits,cnn_right_left,block_side,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2002718,632000,15th Ave,West Portal Ave  -  Portola Dr,L,NorthEast,Tuesday,5,7,11,5.06060606060606,5.033333333333333,5.083333333333333
2002719,632000,15th Ave,West Portal Ave  -  Portola Dr,L,NorthEast,Thursday,5,7,5,5.1466666666666665,5.0,5.25
2002720,632000,15th Ave,West Portal Ave  -  Portola Dr,R,SouthWest,Monday,5,7,4,5.070833333333334,5.016666666666667,5.216666666666667
2002721,632000,15th Ave,West Portal Ave  -  Portola Dr,R,SouthWest,Wednesday,5,7,8,5.10625,5.016666666666667,5.333333333333333
2002722,632000,15th Ave,West Portal Ave  -  Portola Dr,R,SouthWest,Friday,5,7,7,5.121428571428572,5.016666666666667,5.233333333333333
2002724,656000,15th St,Albion St  -  Guerrero St,L,South,Wednesday,9,11,75,9.674000000000001,9.3,9.983333333333333
2002725,656000,15th St,Albion St  -  Guerrero St,L,South,Friday,9,11,105,9.817301587301587,9.533333333333333,10.2
2002726,656000,15th St,Albion St  -  Guerrero St,R,North,Monday,9,11,125,9.824933333333334,9.166666666666666,10.25
2002727,656000,15th St,Albion St  -  Guerrero St,R,North,Thursday,9,11,141,9.583333333333334,9.166666666666666,9.783333333333333
2002730,654000,15th St,Caledonia St  -  Valencia St,L,South,Tuesday,6,8,100,6.4435,6.15,6.933333333333334
2002731,654000,15th St,Caledonia St  -  Valencia St,L,South,Thursday,6,8,82,6.669918699186993,6.283333333333333,7.05
2002732,654000,15th St,Caledonia St  -  Valencia St,R,North,Monday,6,8,69,6.7818840579710145,6.35,7.766666666666667
2002733,654000,15th St,Caledonia St  -  Valencia St,R,North,Wednesday,6,8,85,6.460588235294117,6.3,6.7
2002734,654000,15th St,Caledonia St  -  Valencia St,R,North,Friday,6,8,86,6.565116279069769,6.383333333333334,6.816666666666666
2002735,649000,15th St,Capp St  -  Minna St,L,South,Tuesday,6,8,103,6.438187702265372,6.116666666666666,6.916666666666667
2002736,649000,15th St,Capp St  -  Minna St,L,South,Thursday,6,8,77,6.67077922077922,6.266666666666667,7.116666666666666
2002737,649000,15th St,Capp St  -  Minna St,R,North,Monday,6,8,76,6.8013157894736835,6.3,7.766666666666667
2002738,649000,15th St,Capp St  -  Minna St,R,North,Wednesday,6,8,72,6.444444444444445,6.283333333333333,6.65
2002739,649000,15th St,Capp St  -  Minna St,R,North,Friday,6,8,72,6.540046296296296,6.383333333333334,7.016666666666667
2002740,661000,15th St,Church St  -  Sharon St,L,South,Monday,9,11,83,9.189959839357432,9.083333333333334,10.216666666666667
2002741,661000,15th St,Church St  -  Sharon St,R,North,Thursday,9,11,140,9.643571428571429,9.216666666666667,9.95
2002743,634000,15th St,De Haro St  -  Rhode Island St,R,North,Thursday,0,6,3,0.7111111111111111,0.45,0.9333333333333333
2002744,659000,15th St,Dolores St  -  Landers St,L,South,Monday,9,11,79,9.20253164556962,9.133333333333333,9.283333333333333
2002745,659000,15th St,Dolores St  -  Landers St,R,North,Thursday,9,11,80,9.593541666666667,9.183333333333334,9.85
2002746,645000,15th St,Folsom St  -  Shotwell St,L,South,Tuesday,8,10,20,8.309166666666666,8.15,8.516666666666667
2002748,657000,15th St,Guerrero St  -  Ramona St,L,South,Monday,9,11,94,9.581560283687942,9.133333333333333,10.133333333333333
2002749,657000,15th St,Guerrero St  -  Ramona St,R,North,Thursday,9,11,107,9.58520249221184,9.166666666666666,9.783333333333333
2002750,644000,15th St,Harrison St  -  Folsom St,L,South,Tuesday,6,8,26,6.589743589743589,6.35,6.75
2002751,644000,15th St,Harrison St  -  Folsom St,R,North,Friday,6,8,37,6.4648648648648654,6.3,6.716666666666667
2002752,653000,15th St,Julian Ave  -  Caledonia St,L,South,Tuesday,6,8,100,6.4435,6.15,6.933333333333334
2002753,653000,15th St,Julian Ave  -  Caledonia St,L,South,Thursday,6,8,82,6.669918699186993,6.283333333333333,7.05
2002754,653000,15th St,Julian Ave  -  Caledonia St,R,North,Monday,6,8,69,6.7818840579710145,6.35,7.766666666666667
2002755,653000,15th St,Julian Ave  -  Caledonia St,R,North,Wednesday,6,8,85,6.460588235294117,6.3,6.7
2002756,653000,15th St,Julian Ave  -  Caledonia St,R,North,Friday,6,8,86,6.565116279069769,6.383333333333334,6.816666666666666
2002757,636000,15th St,Kansas St  -  Vermont St,L,South,Friday,0,6,4,0.7833333333333333,0.65,0.8333333333333334
2002758,636000,15th St,Kansas St  -  Vermont St,R,North,Thursday,0,6,47,0.8248226950354611,0.6833333333333333,1.0166666666666666
2002759,660000,15th St,Landers St  -  Church St,L,South,Monday,9,11,78,9.19957264957265,9.116666666666667,10.216666666666667
2002760,660000,15th St,Landers St  -  Church St,R,North,Thursday,9,11,127,9.623622047244092,9.216666666666667,9.916666666666666
2002761,663000,15th St,Market St  -  Sanchez St,L,South,Wednesday,9,11,61,9.383879781420767,9.216666666666667,9.833333333333334
2002762,650000,15th St,Minna St  -  Mission St,L,South,Tuesday,6,8,103,6.438187702265372,6.116666666666666,6.916666666666667
2002763,650000,15th St,Minna St  -  Mission St,L,South,Thursday,6,8,77,6.67077922077922,6.266666666666667,7.116666666666666
2002764,650000,15th St,Minna St  -  Mission St,R,North,Monday,6,8,76,6.8013157894736835,6.3,7.766666666666667
2002765,650000,15th St,Minna St  -  Mission St,R,North,Wednesday,6,8,72,6.444444444444445,6.283333333333333,6.65
2002766,650000,15th St,Minna St  -  Mission St,R,North,Friday,6,8,72,6.540046296296296,6.383333333333334,7.016666666666667
2002767,651000,15th St,Mission St  -  Wiese St,L,South,Tuesday,6,8,118,6.442231638418079,6.133333333333334,6.933333333333334
2002768,651000,15th St,Mission St  -  Wiese St,L,South,Thursday,6,8,96,6.662152777777777,6.266666666666667,7.05
2002769,651000,15th St,Mission St  -  Wiese St,R,North,Monday,6,8,80,6.791666666666667,6.316666666666666,7.766666666666667
2002770,651000,15th St,Mission St  -  Wiese St,R,North,Wednesday,6,8,85,6.455686274509804,6.283333333333333,6.7
2002771,651000,15th St,Mission St  -  Wiese St,R,North,Friday,6,8,91,6.558058608058606,6.383333333333334,6.816666666666666
2002772,648000,15th St,Natoma St  -  Capp St,L,South,Tuesday,6,8,103,6.438187702265372,6.116666666666666,6.916666666666667
2002773,648000,15th St,Natoma St  -  Capp St,L,South,Thursday,6,8,77,6.67077922077922,6.266666666666667,7.116666666666666
2002774,648000,15th St,Natoma St  -  Capp St,R,North,Monday,6,8,76,6.8013157894736835,6.3,7.766666666666667
2002775,648000,15th St,Natoma St  -  Capp St,R,North,Wednesday,6,8,72,6.444444444444445,6.283333333333333,6.65
2002776,648000,15th St,Natoma St  -  Capp St,R,North,Friday,6,8,72,6.540046296296296,6.383333333333334,7.016666666666667
2002777,665000,15th St,Noe St  -  Castro St,L,South,Wednesday,9,11,82,9.364430894308944,9.216666666666667,9.833333333333334
2002778,665000,15th St,Noe St  -  Castro St,R,North,Monday,9,11,88,9.791098484848483,9.6,10.166666666666666
2002779,640000,15th St,Potrero Ave  -  Hampshire St,L,South,Wednesday,8,10,5,8.639999999999999,8.15,9.4
2002780,640000,15th St,Potrero Ave  -  Hampshire St,R,North,Wednesday,8,10,5,8.639999999999999,8.15,9.4
2002781,658000,15th St,Ramona St  -  Dolores St,L,South,Monday,9,11,82,9.31219512195122,9.133333333333333,10.133333333333333
2002782,658000,15th St,Ramona St  -  Dolores St,R,North,Thursday,9,11,76,9.578947368421051,9.183333333333334,9.8
2002784,635000,15th St,Rhode Island St  -  Kansas St,R,North,Thursday,0,6,6,0.7555555555555556,0.45,0.9333333333333333
2002785,638000,15th St,San Bruno Ave  -  Utah St,L,South,Friday,0,6,29,0.8235632183908045,0.6166666666666667,1.0833333333333333
2002786,638000,15th St,San Bruno Ave  -  Utah St,R,North,Thursday,0,6,49,0.8544217687074829,0.7,1.35
2002787,664000,15th St,Sanchez St  -  Noe St,L,South,Wednesday,9,11,61,9.383879781420767,9.216666666666667,9.833333333333334
2002788,664000,15th St,Sanchez St  -  Noe St,R,North,Monday,9,11,87,9.574521072796937,9.083333333333334,10.166666666666666
2002789,662000,15th St,Sharon St  -  Market St,L,South,Monday,9,11,77,9.342857142857143,9.083333333333334,10.216666666666667
2002790,662000,15th St,Sharon St  -  Market St,R,North,Thursday,9,11,107,9.655140186915888,9.233333333333333,9.95
2002791,646000,15th St,Shotwell St  -  South Van Ness Ave,L,South,Tuesday,8,10,29,8.314367816091954,8.15,8.516666666666667
2002793,647000,15th St,South Van Ness Ave  -  Natoma St,L,South,Tuesday,6,8,52,6.418910256410256,6.116666666666666,6.85
2002794,647000,15th St,South Van Ness Ave  -  Natoma St,L,South,Thursday,6,8,37,6.667567567567568,6.266666666666667,7.116666666666666
2002795,647000,15th St,South Van Ness Ave  -  Natoma St,R,North,Monday,6,8,27,6.830864197530864,6.3,7.733333333333333
