/Users/zshor/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-22 06:54:55,375 - INFO - 🚗 Starting Production Citation GPS Processing
2025-07-22 06:54:55,376 - INFO - ============================================================
2025-07-22 06:54:55,376 - INFO - Loading citations from file: temp_citations_for_geocoding.csv
/Users/zshor/Desktop/SFParkingApp/data_processing/production/core/production_citation_processor.py:164: DtypeWarning: Columns (2) have mixed types. Specify dtype option on import or set low_memory=False.
  df = pd.read_csv(input_file)
2025-07-22 06:55:02,166 - INFO - ✅ Loaded 495303 citations from file
2025-07-22 06:55:02,503 - INFO - Resuming: 10823 already processed, 495303 remaining
2025-07-22 06:56:24,882 - INFO - Processing batch 6: citations 1501-1800 of 495303
2025-07-22 06:56:25,816 - INFO - Processed 1510 citations. Success rate: 96.7% (H:1428, M:32, F:50)
2025-07-22 06:56:26,317 - INFO - Processed 1520 citations. Success rate: 96.7% (H:1438, M:32, F:50)
2025-07-22 06:56:26,828 - INFO - Processed 1530 citations. Success rate: 96.7% (H:1447, M:32, F:51)
2025-07-22 06:56:27,378 - INFO - Processed 1540 citations. Success rate: 96.7% (H:1457, M:32, F:51)
2025-07-22 06:56:27,902 - INFO - Processed 1550 citations. Success rate: 96.7% (H:1467, M:32, F:51)
2025-07-22 06:56:28,447 - INFO - Processed 1560 citations. Success rate: 96.7% (H:1477, M:32, F:51)
2025-07-22 06:56:29,014 - INFO - Processed 1570 citations. Success rate: 96.8% (H:1487, M:32, F:51)
2025-07-22 06:56:29,493 - INFO - Processed 1580 citations. Success rate: 96.8% (H:1497, M:32, F:51)
2025-07-22 06:56:30,058 - INFO - Processed 1590 citations. Success rate: 96.7% (H:1505, M:33, F:52)
2025-07-22 06:56:30,566 - INFO - Processed 1600 citations. Success rate: 96.6% (H:1513, M:33, F:54)
2025-07-22 06:56:31,107 - INFO - Processed 1610 citations. Success rate: 96.6% (H:1523, M:33, F:54)
2025-07-22 06:56:31,646 - INFO - Processed 1620 citations. Success rate: 96.7% (H:1533, M:33, F:54)
2025-07-22 06:56:32,169 - INFO - Processed 1630 citations. Success rate: 96.6% (H:1542, M:33, F:55)
2025-07-22 06:56:32,688 - INFO - Processed 1640 citations. Success rate: 96.6% (H:1552, M:33, F:55)
2025-07-22 06:56:33,257 - INFO - Processed 1650 citations. Success rate: 96.7% (H:1562, M:33, F:55)
2025-07-22 06:56:33,763 - INFO - Processed 1660 citations. Success rate: 96.7% (H:1572, M:33, F:55)
2025-07-22 06:56:34,375 - INFO - Processed 1670 citations. Success rate: 96.7% (H:1582, M:33, F:55)
2025-07-22 06:56:34,896 - INFO - Processed 1680 citations. Success rate: 96.7% (H:1591, M:33, F:56)
2025-07-22 06:56:35,389 - INFO - Processed 1690 citations. Success rate: 96.7% (H:1601, M:33, F:56)
2025-07-22 06:56:35,898 - INFO - Processed 1700 citations. Success rate: 96.7% (H:1611, M:33, F:56)
2025-07-22 06:56:36,509 - INFO - Processed 1710 citations. Success rate: 96.7% (H:1621, M:33, F:56)
